Method,AUC-ROC,AUPR,Accuracy,Top-10 Prec,Top-50 Prec,Top-100 Prec,Top-200 Prec,Top-500 Prec
Random Forest,0.9569241788752364,0.9533107510698176,0.9252717391304348,1.0,1.0,0.99,0.99,0.724
Local Path,0.9531360763232514,0.9462623747660408,0.9171195652173914,1.0,0.96,0.97,0.97,0.722
Resource Allocation,0.9479191280718336,0.9483681548469667,0.9239130434782609,1.0,1.0,1.0,0.985,0.698
Adamic-Adar,0.9438282726843099,0.9387488464318702,0.9239130434782609,1.0,1.0,0.98,0.98,0.7
L3 Index,0.943001240548204,0.9487731625460033,0.8994565217391305,1.0,1.0,0.99,0.985,0.706
Jaccard Coefficient,0.9406161389413988,0.934856571480081,0.9171195652173914,1.0,0.98,0.98,0.975,0.698
Common Neighbors,0.9379393608223062,0.9250059221757352,0.9130434782608695,1.0,0.98,0.97,0.97,0.7
Preferential Attachment,0.8021657904064271,0.8154813913790578,0.7445652173913043,1.0,0.96,0.92,0.865,0.628
