Method,AUC-ROC,AUPR,Accuracy,Top-10 Prec,Top-50 Prec,Top-100 Prec,Top-200 Prec,Top-500 Prec
Resource Allocation,0.9551845599929746,0.9544580915321317,0.9049586776859504,1.0,1.0,1.0,0.995,0.982
Adamic-Adar,0.9517694927161493,0.9505527840124656,0.9014167650531287,1.0,1.0,1.0,0.995,0.972
L3 Index,0.9466754668536359,0.9495013889260862,0.8860684769775679,1.0,1.0,1.0,0.995,0.97
Random Forest,0.9461652976196284,0.9428629725053856,0.9067296340023613,1.0,1.0,0.99,0.995,0.968
Local Path,0.9461130261817179,0.9464262295258948,0.8872491145218417,1.0,1.0,1.0,0.985,0.968
Common Neighbors,0.9456467649555553,0.9385077904649776,0.8890200708382526,1.0,1.0,1.0,0.99,0.97
Jaccard Coefficient,0.9400920534869232,0.9325916594877048,0.8837072018890201,1.0,0.98,0.99,0.975,0.962
Preferential Attachment,0.8566368696238825,0.8672309964621748,0.7868949232585596,1.0,0.98,0.99,0.965,0.902
