Method,AUC-ROC,AUPR,Accuracy,Top-10 Prec,Top-50 Prec,Top-100 Prec,Top-200 Prec,Top-500 Prec
Resource Allocation,0.9395548553029838,0.9408572122247365,0.8700393278512693,1.0,1.0,1.0,1.0,0.992
Random Forest,0.9299980992454632,0.9281281078529775,0.8577046835895602,1.0,1.0,1.0,0.99,0.99
Adamic-Adar,0.9237090559641192,0.9230884537675262,0.8468001430103682,1.0,1.0,1.0,1.0,0.992
Common Neighbors,0.9163778572194607,0.912850267372129,0.8364318913121201,1.0,1.0,1.0,0.995,0.99
Jaccard Coefficient,0.9149563177974664,0.9145133648493131,0.8335716839470861,0.9,0.98,0.99,0.995,0.988
L3 Index,0.9111247059870189,0.9132393390680846,0.8335716839470861,1.0,1.0,1.0,0.995,0.988
Local Path,0.9003897249836991,0.9002356666859389,0.8194494100822309,1.0,1.0,1.0,0.995,0.982
Preferential Attachment,0.8451256383409929,0.8528224070908081,0.7661780479084733,1.0,1.0,1.0,1.0,0.974
